chr12	55575578	55575579	529634.000000
chr12	55575579	55575580	530060.000000
chr12	55575580	55575581	533434.000000
chr12	55575581	55575582	537629.000000
chr12	55575582	55575583	540053.000000
chr12	55575583	55575584	541209.000000
chr12	55575584	55575585	541756.000000
chr12	55575585	55575586	542296.000000
chr12	55575586	55575587	542740.000000
chr12	55575587	55575588	543098.000000
chr12	55575588	55575589	543267.000000
chr12	55575589	55575590	543349.000000
chr12	55575590	55575591	543355.000000
chr12	55575591	55575592	543358.000000
chr12	55575592	55575593	543360.000000
chr12	55575593	55575595	543361.000000
chr12	55575595	55575596	543357.000000
chr12	55575596	55575597	543037.000000
chr12	55575597	55575598	542711.000000
chr12	55575598	55575599	541457.000000
chr12	55575599	55575600	540104.000000
chr12	55575600	55575602	540080.000000
chr12	55575602	55575727	540078.000000
chr12	55575727	55575765	540079.000000
chr12	55575765	55585329	540078.000000
chr12	55585329	55585367	540081.000000
chr12	55585367	55605780	540078.000000
chr12	55605780	55605818	540079.000000
chr12	55605818	55606250	540078.000000
chr12	55606250	55606251	540079.000000
chr12	55606251	55606288	540080.000000
chr12	55606288	55606289	540079.000000
chr12	55606289	55607385	540078.000000
chr12	55607385	55607423	540079.000000
chr12	55607423	55627857	540078.000000
chr12	55627857	55627877	540080.000000
chr12	55627877	55653499	540078.000000
chr12	55653499	55653521	540080.000000
chr12	55653521	55668252	540078.000000
chr12	55668252	55668275	540080.000000
chr12	55668275	55692521	540078.000000
chr12	55692521	55692559	540079.000000
chr12	55692559	55697054	540078.000000
chr12	55697054	55697075	540080.000000
chr12	55697075	55698038	540078.000000
chr12	55698038	55698059	540080.000000
chr12	55698059	55709882	540078.000000
chr12	55709882	55709920	540079.000000
chr12	55709920	55722290	540078.000000
chr12	55722290	55722295	540079.000000
chr12	55722295	55722328	540080.000000
chr12	55722328	55722333	540079.000000
chr12	55722333	55730045	540078.000000
chr12	55730045	55730083	540079.000000
chr12	55730083	55739817	540078.000000
chr12	55739817	55739855	540079.000000
chr12	55739855	55742039	540078.000000
chr12	55742039	55742077	540079.000000
chr12	55742077	55742106	540078.000000
chr12	55742106	55742116	540080.000000
chr12	55742116	55742121	540081.000000
chr12	55742121	55742144	540082.000000
chr12	55742144	55742154	540080.000000
chr12	55742154	55742159	540079.000000
chr12	55742159	55751251	540078.000000
chr12	55751251	55751289	540079.000000
chr12	55751289	55752199	540078.000000
chr12	55752199	55752237	540079.000000
chr12	55752237	55753067	540078.000000
chr12	55753067	55753105	540079.000000
chr12	55753105	55767253	540078.000000
chr12	55767253	55767291	540079.000000
chr12	55767291	55772821	540078.000000
chr12	55772821	55772841	540080.000000
